Extracting ../MNIST_data/train-images-idx3-ubyte.gz
Extracting ../MNIST_data/train-labels-idx1-ubyte.gz
Extracting ../MNIST_data/t10k-images-idx3-ubyte.gz
Extracting ../MNIST_data/t10k-labels-idx1-ubyte.gz
2017-06-13_00:04 start training
Batch 0: mean_loss 0.6876699924468994
2017-06-13_00:04 test results [0.68494922, 0.088399999]
Batch 100: mean_loss 0.4314008951187134
Batch 200: mean_loss 0.37692275643348694
Batch 300: mean_loss 0.3250066637992859
Batch 400: mean_loss 0.32334721088409424
Batch 500: mean_loss 0.3185063302516937
Batch 600: mean_loss 0.3126769959926605
Batch 700: mean_loss 0.3062303960323334
Batch 800: mean_loss 0.29618656635284424
Batch 900: mean_loss 0.2823489010334015
Batch 1000: mean_loss 0.267640084028244
2017-06-13_00:04 test results [0.2517193, 0.44469988]
Batch 1100: mean_loss 0.2532997727394104
Batch 1200: mean_loss 0.23802228271961212
Batch 1300: mean_loss 0.2232738435268402
Batch 1400: mean_loss 0.2084563970565796
Batch 1500: mean_loss 0.1955580860376358
Batch 1600: mean_loss 0.18560005724430084
Batch 1700: mean_loss 0.1753637194633484
Batch 1800: mean_loss 0.16538383066654205
Batch 1900: mean_loss 0.15681877732276917
Batch 2000: mean_loss 0.14779157936573029
2017-06-13_00:04 test results [0.14009622, 0.73559999]
Batch 2100: mean_loss 0.13731642067432404
Batch 2200: mean_loss 0.12848933041095734
Batch 2300: mean_loss 0.12075059115886688
Batch 2400: mean_loss 0.11323365569114685
Batch 2500: mean_loss 0.10721023380756378
Batch 2600: mean_loss 0.10220605880022049
Batch 2700: mean_loss 0.09787582606077194
Batch 2800: mean_loss 0.09309276938438416
Batch 2900: mean_loss 0.08850563317537308
Batch 3000: mean_loss 0.08593139797449112
2017-06-13_00:05 test results [0.083943769, 0.87540007]
Batch 3100: mean_loss 0.08204931020736694
Batch 3200: mean_loss 0.07828982174396515
Batch 3300: mean_loss 0.07521479576826096
Batch 3400: mean_loss 0.07107080519199371
Batch 3500: mean_loss 0.06516256183385849
Batch 3600: mean_loss 0.06012102589011192
Batch 3700: mean_loss 0.05619050934910774
Batch 3800: mean_loss 0.05202863737940788
Batch 3900: mean_loss 0.04838972166180611
Batch 4000: mean_loss 0.04590824246406555
2017-06-13_00:05 test results [0.043093733, 0.94790012]
Batch 4100: mean_loss 0.04563257098197937
Batch 4200: mean_loss 0.04386502876877785
Batch 4300: mean_loss 0.040469903498888016
Batch 4400: mean_loss 0.038258932530879974
Batch 4500: mean_loss 0.03797667846083641
Batch 4600: mean_loss 0.03674847632646561
Batch 4700: mean_loss 0.03508588671684265
Batch 4800: mean_loss 0.03450436890125275
Batch 4900: mean_loss 0.03393635153770447
Batch 5000: mean_loss 0.03262117877602577
2017-06-13_00:05 test results [0.031690191, 0.9568001]
Batch 5100: mean_loss 0.03151647001504898
Batch 5200: mean_loss 0.030290022492408752
Batch 5300: mean_loss 0.030366290360689163
Batch 5400: mean_loss 0.030356889590620995
Batch 5500: mean_loss 0.029097819700837135
Batch 5600: mean_loss 0.029370859265327454
Batch 5700: mean_loss 0.028243593871593475
Batch 5800: mean_loss 0.026869086548686028
Batch 5900: mean_loss 0.027646226808428764
Batch 6000: mean_loss 0.02719784528017044
2017-06-13_00:05 test results [0.026962578, 0.96300012]
Batch 6100: mean_loss 0.02609366364777088
Batch 6200: mean_loss 0.025802209973335266
Batch 6300: mean_loss 0.025796132162213326
Batch 6400: mean_loss 0.025599200278520584
Batch 6500: mean_loss 0.024115433916449547
Batch 6600: mean_loss 0.023169435560703278
Batch 6700: mean_loss 0.02469041757285595
Batch 6800: mean_loss 0.024519646540284157
Batch 6900: mean_loss 0.02304079756140709
Batch 7000: mean_loss 0.02215012162923813
